a 1,نهايت اعليٰ ـ بهترين
auricle,دل کے خانوں کے پردے ـ کان
auricular,راز کے طور پر کها هوا
auriferous,جس سے سونا نکلے
auriform,گوش پيکر ـ کان کي شکل کا
aurist,کان کے مرض کا ماهر
aurora,طلوع صبح
auroral,صبح ـ گاهي ـ سحري
auspicate,نيک فال هونا ـ ابتدائ کرنا ـ بنياد رکھنا
auspice,پرندوں سے شگون ـ فال
auspicious,آسوده ـ خوشحال
auspiciously,مقدس طور سے
auspiciousness,برکت ـ نيک شگون
aussie,آسٹريليا کا باشنده
austere,سادگي پسند
austerely,کثر پن سے
austereness,زهد ـ سادگي
austerity,سادگي
australia,آسٹريليا
australian,آسٹريليا کے رهنے والے
austria,آسٹريليا يا ملحقه جزائز کا رهنے والا
austrian,آسٹرين
authentic,تحقيق شده
authentically,قابل اعتماد طريقے سے
authenticate,صداقت ثابت کرنا
authentication,تصديق
authenticator,تصديق کرنے والا
authenticity,تحقيق شده هونا
author,مؤلف ـ مصنف
authoress,مؤلفه ـ مصنفه
authorial,موجدانه ـ مصنفانه
authoritative,مستند ـ معتبر ـ تحکمانه
authoritatively,مصدقه طور پر
authority,عهده ـ اختيار
authorizable,قابل جواز
authorization,جواز ـ حکم
authorize,جواز نکالنا
authorizer,جواز نکالنے والا
authorship,کتابيں لکھنے کا پيشه
auto car,انجن سے چلنے والي گاڑي
autobiographer,آپ اپني زندگي کے سوانحٔ حيات لکھنے والا
autobiographic,خود نوشتگي کے متعلق
autocracy,خود مختاري
autocrat,جابر ـ خود مختار
autocratic,استبدادي
autocratically,ظالمانه طريقے سے
autocratrix,خود مختار رائي ـ خود مختار ملکه
autogiro,ايک هوائي جهاز جو اپنے دھرے پر گھومتا هے
autograph,مصنف کا قلمي مسوده ـ اپنے هاتھ کي تحرير
autographic,خود نوشته
autographically,خود نوشتگي کے متعلق
autography,خود نوشتگي ـ اپني تحرير
automatic,خود کار
automatical,خود بخود کام کرنے والا
automatically,آپ سے آب ـ خود بخود
automaticity,آپ چالو پن ـ خود کاريت
automation,کٹھ پتلي ـ خود بخود چلنے والي
automatism,جيلي حرکت ـ غير ارادي حرکت
automobile,موٹر گاڑي
autonomic,خود اختياري
autonomist,نظريه خود اختياري کا پيرو
autonomous,خود مختاري
autonomy,اختيار ـ آزادي
autopsy,ذاتي نگراني ـ لاش کي چيڑ پھاڑ
autotype,عکس يا چربا ـ هو بهو نقل
autumn,خزاں ـ پت جڑ
autumnal,خزاں کے متعلق
auxiliary,مددگار ـ معاون
auxillary,امدادي فوج ـ معاون
avail,مدد ـ طلب ـ کام ميں لانا
availability,دستيابي
available,کارآمد ـ قابل دستيابي
availableness,دستيابي
availably,پر اميد طور پر ـ کار آمد طور پر
avalanche,برف يا مٹي کا طوفان
avarice,لالچ ـ طمع
avaricious,لالچي ـ طامع
avariciously,لالچ سے ـ طمع سے
avatar,ديوتا ـ مظهر
avaunt,دفع هو ـ دور هو
avenge,بدله لينا ـ انتقام لينا
avenger,انتقام لينے والا
avenging,انتقام
avenue,راسته ـ راه
aver,حتمي طور پر ـ بيان کرنا
averable,دعوے سے کهنے کے قابل
average,اوسط درجے کا  ـ متوسط
averagely,اوسطاً
averment,دعوي ـ حتمي بيان
averse,ناخوش ـ ناراض ـ متنفر
averseness,تنفر ـ بيزاري
aversion,نفرت ـ کراهت
avert,پھيرنا ـ موڑنا ـ دور کرنا
avertable,دور کئے جانے کے قابل
avertible,دور کئے جانے کے قابل
aviary,چڑيا خانه ـ چڑيا گھر
aviate,هوا بازي کرنا
aviation,طياره رائي ـ هوا بازي
aviator,هوا باز
avid,مشتاق ـ حريص
avidity,حرص ـ آرزو ـ لالچ
avidly,مشتاقانه ـ آرزو مندانه
avidty,آرزو ـ حرص
avocate,عدالت عاليه ميں مرافعه کرنا
avocation,کام ـ پيشه
avoid,پرهيز کرنا ـ الگ کرنا
avoidable,قابل اعتراز
avoidance,بچاؤ ـ اعتراز
avoider,احترام کرنے والا
avouch,اقبال کرنا ـ تسليم کرنا ـ ضمانت دينا
avoucher,ضمانت دينے والا ـ تسليم کرنے والا
avouchment,اقرار ـ اقبال
avow,اقرار کرنا ـ مان لينا
avowable,ماننے کے قابل
avowal,اقبال ـ اعتراف
avowedly,مسلمه طور پر
avower,اعتراف کرنے والا
await,انتظار کرنا ـ راه ديکھنا ـ منتظر رهنا
awaiter,انتظار کرنے والا
awake,اٹھنا ـ جاگنا ـ بيدار هونا ـ هوشيار کرنا
awaken,اٹھنا ـ جاگنا ـ هوشيار هونا
award,حکم دينا ـ فيصله کرنا ـ عطا کرنا
awarder,عطار کرنے والا
aware,آگاه ـ واقف
away,ايک طرف ـ دور ـ الگ
awe,خوف ـ احترام ـ ڈر ـ جلال
aweless,بے خوفي
awfulness,جلال ـ وقار
awhile,کچھ عرصے کے لئے
awkward,بد سليقه
awkwarder,پريشان کرنے والا
awkwardish,بھدا سا ـ بد وضع
awkwardly,بھونڈے پن سے
awkwardness,ناکاره پن
awl,موچيوں کا سپنے کا اوزار ـ سوا ـ ستاري
awn,جوار يا مکتي کے ريشے
awned,روتيں دار ـ ريشے دار ـ بال دار
awning,سايه بان ـ نمگيره
awnless,بے ريشه ـ بے بال
awoke,جاگا هوا
awoken,جاگايا هوا
awro,کج ـ ٹيڑھا ـ ترچھا
ax,کلهاڑي ـ تيشه
axil,بغل
axillary,بغل کے متعلق
axiom,جامع کلمه
axiomatic,بااصول
axiomatically,بدهيي طور پر
axis,محور ـ دھرا
axle,دھرا ـ گول لکڑي
ay,هاں
aye,هر موقع پر
azimuth,قوس آسماني جو افق کو زاويه قائمه پر کاٹتي هے
azoic,مرده
azote,هاهڈروجن کا قديم نام
azotic,هاهڈروجني
azotize,هاهيڈروجن سے ملانا يا بھرنا
azure,آسماني ـ نيگوان
